model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
AALF/gemma-2-27b-it-SimPO-37K,0.24065257959990605,0.3911343917952534,0.012839879,0.2802013422818792,0.3487604166666667,0.1971409574468085
AALF/gemma-2-27b-it-SimPO-37K-100steps,0.2567642743476199,0.39308230769885016,0.021148036253776436,0.28859060402684567,0.3329166666666667,0.21251662234042554
AELLM/gemma-2-aeria-infinity-9b,0.759399504,0.5983336669577649,0.21450151057401812,0.3338926174496644,0.40196875,0.38622007978723405
AELLM/gemma-2-lyco-infinity-9b,0.7316475839660989,0.5839534871023703,0.17069486404833836,0.32802013422818793,0.40063541666666663,0.378656915
AGI-0/Art-v0-3B,0.319238509,0.3400959483013824,0.24622356495468278,0.25922818791946306,0.3768229166666666,0.11785239361702128
AGI-0/Artificium-llama3.1-8B-001,0.5247687247614108,0.42562150225923556,0.13595166163141995,0.26593959731543626,0.3794583333333333,0.3181515957446808
AGI-0/smartllama3.1-8B-001,0.35178659290682057,0.46701787510868176,0.1299093655589124,0.3062080536912752,0.43864583333333335,0.3486535904255319
AI-MO/NuminaMath-7B-CoT,0.2688544173903022,0.4314193495860012,0.26963746223564955,0.26593959731543626,0.33034375,0.28681848404255317
AI-MO/NuminaMath-7B-TIR,0.27562423259174545,0.41436913375897894,0.1608761329305136,0.25838926174496646,0.35092708333333333,0.2732712765957447
AI-Sweden-Models/Llama-3-8B-instruct,0.24012841482821137,0.4173460154515302,0.038519637,0.26593959731543626,0.47709375000000004,0.25972406914893614
AI-Sweden-Models/gpt-sw3-40b,0.1470298807164989,0.3267744702957652,0.017371601208459216,0.2348993288590604,0.36323958333333334,0.12757646276595744
AI4free/Dhanishtha,0.2451240486353985,0.34039444943326375,0.25604229607250756,0.2525167785234899,0.35694791666666664,0.16431183510638298
AI4free/t2,0.3866828902866616,0.2910111436321769,0.18957703927492447,0.2575503355704698,0.3846354166666666,0.11436170212765957
AIDC-AI/Marco-o1,0.477083029,0.5364362696398749,0.37462235649546827,0.25922818791946306,0.41384375,0.41165226063829785
Aashraf995/Creative-7B-nerd,0.4721871301480073,0.5606785565640195,0.3164652567975831,0.3263422818791946,0.4515416666666667,0.44921875
Aashraf995/Gemma-Evo-10B,0.7332211864519476,0.6044352897552882,0.22280966767371602,0.3540268456375839,0.45947916666666666,0.4275265957446808
Aashraf995/Qwen-Evo-7B,0.4757343847657549,0.5709361538590277,0.31419939577039274,0.32550335570469796,0.4541458333333333,0.44622672872340424
Aashraf995/QwenStock-14B,0.5008632650256873,0.6550130348108012,0.35725075528700906,0.38926174496644295,0.4792604166666667,0.5382313829787234
AbacusResearch/Jallabi-34B,0.3528604103777976,0.6023380603196266,0.052114804,0.3389261744966443,0.48217708333333337,0.4681682180851064
Ahdoot/StructuredThinker-v0.3-MoreStructure,0.4192808415005519,0.48376906494893984,0.290785498,0.29697986577181207,0.41582291666666665,0.36103723404255317
Ahdoot/Test_StealthThinker,0.42200361706937595,0.46466398134666304,0.17900302114803626,0.2961409395973154,0.42804166666666665,0.35970744680851063
AicoresSecurity/Cybernet-Sec-3B-R1-V0,0.6358018945287394,0.4497434194912941,0.11555891238670694,0.2634228187919463,0.33136458333333335,0.301030585
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.7097656440466851,0.4477501104993749,0.1487915407854985,0.27181208053691275,0.34079166666666666,0.3178191489361702
AicoresSecurity/Cybernet-Sec-3B-R1-V1,0.6145693426774292,0.4282342020189216,0.15181268882175228,0.2609060402684564,0.32869791666666665,0.2876496010638298
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.6730209178313542,0.4391775517124728,0.17598187311178248,0.2709731543624161,0.35409375000000004,0.308843085
